date,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,label
2020-10-23 00:00:08,5425693,11.875,217.25,376.416656,63.5625,17657,59.882076,37386,216.75,375.25,60.65625,11712,5919,0.890625,7.910156,43.847656,217.5,376.75,62.9375,12353,5772,0.902344,7.324219,43.554688,217.5,377.25,67.09375,13321,5966,0.910156,7.519531,38.76953,0
2020-10-23 00:01:08,5426281,11.875,216.083328,374.5,64.072914,17602,59.89143,37391,215.5,373.25,61.15625,11735,5916,0.890625,7.714844,44.335938,216.5,375,63.1875,12319,5759,0.902344,7.421875,44.140625,216.25,375.25,67.875,13337,5927,0.910156,7.519531,39.160156,0
2020-10-23 00:02:08,5426900.5,11.875,217.416672,377.083344,63.177082,17387,59.882084,37376,216.75,376,60.28125,11721,5843,0.894531,7.8125,43.45703,217.75,377.25,62.3125,12308,5686,0.90625,7.421875,43.359375,217.75,378,66.9375,13347,5858,0.914063,7.617188,38.28125,0
2020-10-23 00:03:08,5427520,11.875,217.166672,376.5,63.229168,17230,59.900765,37369,216.75,375.25,60.5625,11739,5789,0.894531,7.8125,42.871094,217.25,377,62.28125,12277,5645,0.90625,7.324219,42.96875,217.5,377.25,66.84375,13353,5796,0.914063,7.519531,37.890625,0
2020-10-23 00:04:08,5428139.5,11.25,217.25,376.666656,63.270832,17359,59.882137,37426,216.75,375.25,60.53125,11735,5817,0.894531,7.8125,42.773438,217.5,377.25,62.34375,12366,5672,0.90625,7.324219,42.773438,217.5,377.5,66.9375,13325,5870,0.914063,7.519531,37.79297,0
2020-10-23 00:05:08,5428759,11.875,216.083328,374.916656,63.854168,17354,59.882114,37445,215.5,373.75,60.90625,11723,5808,0.894531,7.8125,42.871094,216.5,375.25,63.03125,12343,5717,0.90625,7.324219,42.578125,216.25,375.75,67.625,13379,5829,0.914063,7.617188,37.597656,0
2020-10-23 00:06:08,5429378.5,11.875,215.833328,374.166656,63.96875,17364,59.92887,37419,215.25,372.75,61.375,11801,5871,0.894531,7.714844,42.871094,216,374.75,62.78125,12228,5689,0.90625,7.324219,42.96875,216.25,375,67.75,13390,5804,0.914063,7.714844,37.695313,0
2020-10-23 00:07:08,5429998,11.875,217.083328,376.416656,63.34375,17259,59.882103,37458,216.5,375,60.53125,11732,5790,0.894531,7.8125,43.066406,217.25,377,62.4375,12327,5671,0.90625,7.324219,43.45703,217.5,377.25,67.0625,13399,5798,0.914063,7.519531,37.890625,0
2020-10-23 00:08:08,5430617.5,12.5,216.833328,376,63.46875,17139,59.882103,37478,216.25,374.75,60.75,11765,5775,0.894531,7.8125,42.67578,217,376.5,62.46875,12320,5597,0.910156,7.421875,43.066406,217.25,376.75,67.1875,13393,5767,0.917969,7.519531,37.5,0
2020-10-23 00:09:08,5431237,11.25,217.166672,376.333344,63.4375,17401,59.910122,37478,216.75,375,60.65625,11775,5838,0.894531,7.8125,42.1875,217.25,376.75,62.375,12336,5701,0.90625,7.421875,42.773438,217.5,377.25,67.28125,13367,5862,0.914063,7.617188,37.304688,0
2020-10-23 00:10:08,5431846,11.25,217.083328,376.666656,63.9375,17777,59.92882,37476,216.25,375.25,60.78125,11711,5937,0.890625,7.714844,43.847656,217.5,377.25,63.3125,12426,5790,0.90625,7.324219,43.75,217.5,377.5,67.71875,13339,6050,0.910156,7.519531,38.76953,0
2020-10-23 00:11:08,5432465.5,11.875,216.833328,375.916656,63.802082,17571,59.919476,37472,216.5,375,61.03125,11723,5868,0.890625,7.714844,43.945313,217,376.25,62.9375,12416,5752,0.90625,7.324219,43.75,217,376.5,67.4375,13333,5951,0.910156,7.519531,38.76953,0
2020-10-23 00:12:08,5433085,11.875,217.25,376.666656,63.989582,17771,59.96627,37489,216.5,375.5,60.96875,11726,5942,0.890625,7.8125,44.04297,217.75,377.25,63.375,12417,5809,0.902344,7.226563,43.75,217.5,377.25,67.625,13346,6020,0.910156,7.421875,38.964844,0
2020-10-23 00:13:08,5433704.5,11.875,217.25,376.666656,63.822918,17728,59.919464,37450,216.75,375.75,60.75,11746,5929,0.890625,7.714844,44.335938,217.5,377,63.125,12379,5801,0.902344,7.226563,43.945313,217.5,377.25,67.59375,13325,5998,0.910156,7.519531,39.160156,0
2020-10-23 00:14:08,5434324,11.25,216.416672,375.25,64.010414,17666,59.872757,37496,215.75,374,60.84375,11689,5909,0.890625,7.714844,44.23828,217,375.75,63.3125,12403,5766,0.90625,7.128906,43.847656,216.5,376,67.875,13404,5991,0.910156,7.519531,38.964844,0
2020-10-23 00:15:08,5434943.5,11.875,215.833328,374.75,64.041664,17635,59.910122,37476,214.75,373.25,60.875,11698,5862,0.890625,7.714844,44.04297,216.5,375.25,63.40625,12445,5778,0.90625,7.226563,43.652344,216.25,375.75,67.84375,13333,5995,0.910156,7.519531,38.867188,0
2020-10-23 00:16:08,5435563,11.25,216.083328,374.666656,63.885418,17368,59.85407,37147,215.5,373.75,60.96875,11745,5876,0.890625,7.714844,43.75,216.5,375,63.28125,12021,5558,0.90625,7.324219,43.554688,216.25,375.25,67.40625,13381,5934,0.914063,7.519531,38.76953,0
