ts,date,time,FC1_Read_Input_Register,FC2_Read_Discrete_Value,FC3_Read_Holding_Register,FC4_Read_Coil,label,type
1556203753,25-Apr-19, 07:49:13 ,14319,43025,21446,63034,1,injection
1556204177,25-Apr-19, 07:56:17 ,29470,5958,33006,41104,1,injection
1556204647,25-Apr-19, 08:04:07 ,20786,1728,11280,40832,1,injection
1556205391,25-Apr-19, 08:16:31 ,37615,35476,37654,33483,1,injection
1556205391,25-Apr-19, 08:16:31 ,25196,5159,39337,38877,1,injection
1556205392,25-Apr-19, 08:16:32 ,25196,5159,39337,38877,1,injection
1556205393,25-Apr-19, 08:16:33 ,25196,5159,39337,38877,1,injection
1556205396,25-Apr-19, 08:16:36 ,16791,65366,53577,25985,1,injection
1556205396,25-Apr-19, 08:16:36 ,16791,65366,53577,25985,1,injection
1556205403,25-Apr-19, 08:16:43 ,21633,23207,44062,15998,1,injection
1556205407,25-Apr-19, 08:16:47 ,8476,30499,33693,7363,1,injection
1556205416,25-Apr-19, 08:16:56 ,35902,25665,27339,8137,1,injection
1556205416,25-Apr-19, 08:16:56 ,35902,25665,27339,8137,1,injection
1556205418,25-Apr-19, 08:16:58 ,35902,25665,27339,8137,1,injection
1556205420,25-Apr-19, 08:17:00 ,3599,59518,32183,9321,1,injection
1556205428,25-Apr-19, 08:17:08 ,43539,27070,10406,19604,1,injection
1556205431,25-Apr-19, 08:17:11 ,43539,27070,10406,19604,1,injection
1556205431,25-Apr-19, 08:17:11 ,19343,8439,41823,46807,1,injection
1556205432,25-Apr-19, 08:17:12 ,19343,8439,41823,46807,1,injection
1556205436,25-Apr-19, 08:17:16 ,3610,55715,15091,34332,1,injection
1556205436,25-Apr-19, 08:17:16 ,3610,55715,15091,34332,1,injection
1556205438,25-Apr-19, 08:17:18 ,3610,55715,15091,34332,1,injection
1556205441,25-Apr-19, 08:17:21 ,8281,29677,31449,8936,1,injection
1556205441,25-Apr-19, 08:17:21 ,8281,29677,31449,8936,1,injection
1556205442,25-Apr-19, 08:17:22 ,8281,29677,31449,8936,1,injection
1556205445,25-Apr-19, 08:17:25 ,53463,18830,38977,42357,1,injection
1556205446,25-Apr-19, 08:17:26 ,53463,18830,38977,42357,1,injection
1556205446,25-Apr-19, 08:17:26 ,53463,18830,38977,42357,1,injection
1556205447,25-Apr-19, 08:17:27 ,59610,15909,4875,61749,1,injection
1556205448,25-Apr-19, 08:17:28 ,59610,15909,4875,61749,1,injection
1556205450,25-Apr-19, 08:17:30 ,59610,15909,4875,61749,1,injection
1556205451,25-Apr-19, 08:17:31 ,59610,15909,4875,61749,1,injection
1556205451,25-Apr-19, 08:17:31 ,9542,64002,29953,13031,1,injection
1556205452,25-Apr-19, 08:17:32 ,9542,64002,29953,13031,1,injection
1556205453,25-Apr-19, 08:17:33 ,9542,64002,29953,13031,1,injection
1556205456,25-Apr-19, 08:17:36 ,21171,37481,5956,37021,1,injection
1556205456,25-Apr-19, 08:17:36 ,21171,37481,5956,37021,1,injection
1556205457,25-Apr-19, 08:17:37 ,21171,37481,5956,37021,1,injection
1556205458,25-Apr-19, 08:17:38 ,21171,37481,5956,37021,1,injection
1556205460,25-Apr-19, 08:17:40 ,43739,31879,26579,28414,1,injection
1556205461,25-Apr-19, 08:17:41 ,43739,31879,26579,28414,1,injection
1556205461,25-Apr-19, 08:17:41 ,43739,31879,26579,28414,1,injection
1556205462,25-Apr-19, 08:17:42 ,43739,31879,26579,28414,1,injection
1556205463,25-Apr-19, 08:17:43 ,18042,60412,24200,3397,1,injection
1556205465,25-Apr-19, 08:17:45 ,18042,60412,24200,3397,1,injection
1556205466,25-Apr-19, 08:17:46 ,18042,60412,24200,3397,1,injection
1556205466,25-Apr-19, 08:17:46 ,18042,60412,24200,3397,1,injection
1556205467,25-Apr-19, 08:17:47 ,25103,35916,28228,5618,1,injection
1556205470,25-Apr-19, 08:17:50 ,25103,35916,28228,5618,1,injection
1556205471,25-Apr-19, 08:17:51 ,25103,35916,28228,5618,1,injection
1556205471,25-Apr-19, 08:17:51 ,29545,7108,40550,7421,1,injection
1556205472,25-Apr-19, 08:17:52 ,29545,7108,40550,7421,1,injection
1556205473,25-Apr-19, 08:17:53 ,29545,7108,40550,7421,1,injection
1556205475,25-Apr-19, 08:17:55 ,29545,7108,40550,7421,1,injection
1556205476,25-Apr-19, 08:17:56 ,24590,4493,42012,31787,1,injection
1556205476,25-Apr-19, 08:17:56 ,24590,4493,42012,31787,1,injection
1556205477,25-Apr-19, 08:17:57 ,24590,4493,42012,31787,1,injection
1556205478,25-Apr-19, 08:17:58 ,24590,4493,42012,31787,1,injection
1556205480,25-Apr-19, 08:18:00 ,42662,45253,56675,23249,1,injection
1556205481,25-Apr-19, 08:18:01 ,42662,45253,56675,23249,1,injection
1556205481,25-Apr-19, 08:18:01 ,42662,45253,56675,23249,1,injection
1556205482,25-Apr-19, 08:18:02 ,42662,45253,56675,23249,1,injection
1556205483,25-Apr-19, 08:18:03 ,3015,37503,50133,20336,1,injection
1556205485,25-Apr-19, 08:18:05 ,3015,37503,50133,20336,1,injection
1556205486,25-Apr-19, 08:18:06 ,3015,37503,50133,20336,1,injection
1556205486,25-Apr-19, 08:18:06 ,3015,37503,50133,20336,1,injection
1556205487,25-Apr-19, 08:18:07 ,56328,36143,58948,48254,1,injection
1556205488,25-Apr-19, 08:18:08 ,56328,36143,58948,48254,1,injection
1556205490,25-Apr-19, 08:18:10 ,56328,36143,58948,48254,1,injection
1556205491,25-Apr-19, 08:18:11 ,56328,36143,58948,48254,1,injection
1556205491,25-Apr-19, 08:18:11 ,21441,11611,39095,10966,1,injection
1556205492,25-Apr-19, 08:18:12 ,21441,11611,39095,10966,1,injection
1556205493,25-Apr-19, 08:18:13 ,21441,11611,39095,10966,1,injection
1556205495,25-Apr-19, 08:18:15 ,21441,11611,39095,10966,1,injection
1556205496,25-Apr-19, 08:18:16 ,20106,23264,22952,23727,1,injection
1556205497,25-Apr-19, 08:18:17 ,20106,23264,22952,23727,1,injection
1556205497,25-Apr-19, 08:18:17 ,20106,23264,22952,23727,1,injection
1556205498,25-Apr-19, 08:18:18 ,20106,23264,22952,23727,1,injection
1556205500,25-Apr-19, 08:18:20 ,61780,41179,21867,54599,1,injection
1556205501,25-Apr-19, 08:18:21 ,61780,41179,21867,54599,1,injection
1556205502,25-Apr-19, 08:18:22 ,61780,41179,21867,54599,1,injection
1556205502,25-Apr-19, 08:18:22 ,61780,41179,21867,54599,1,injection
1556205503,25-Apr-19, 08:18:23 ,5649,11736,51510,35222,1,injection
1556205505,25-Apr-19, 08:18:25 ,5649,11736,51510,35222,1,injection
1556205506,25-Apr-19, 08:18:26 ,5649,11736,51510,35222,1,injection
1556205507,25-Apr-19, 08:18:27 ,5649,11736,51510,35222,1,injection
1556205507,25-Apr-19, 08:18:27 ,15702,16796,16486,38287,1,injection
1556205508,25-Apr-19, 08:18:28 ,15702,16796,16486,38287,1,injection
1556205510,25-Apr-19, 08:18:30 ,15702,16796,16486,38287,1,injection
1556205511,25-Apr-19, 08:18:31 ,15702,16796,16486,38287,1,injection
1556205512,25-Apr-19, 08:18:32 ,42402,59692,28260,7940,1,injection
1556205512,25-Apr-19, 08:18:32 ,42402,59692,28260,7940,1,injection
1556205513,25-Apr-19, 08:18:33 ,42402,59692,28260,7940,1,injection
1556205515,25-Apr-19, 08:18:35 ,42402,59692,28260,7940,1,injection
1556205516,25-Apr-19, 08:18:36 ,31692,22347,13378,59339,1,injection
1556205517,25-Apr-19, 08:18:37 ,31692,22347,13378,59339,1,injection
1556205517,25-Apr-19, 08:18:37 ,31692,22347,13378,59339,1,injection
1556205518,25-Apr-19, 08:18:38 ,31692,22347,13378,59339,1,injection
1556205520,25-Apr-19, 08:18:40 ,22556,24463,13455,42992,1,injection
1556205521,25-Apr-19, 08:18:41 ,22556,24463,13455,42992,1,injection
1556205522,25-Apr-19, 08:18:42 ,22556,24463,13455,42992,1,injection
1556205522,25-Apr-19, 08:18:42 ,22556,24463,13455,42992,1,injection
1556205523,25-Apr-19, 08:18:43 ,27541,16267,64487,3633,1,injection
1556205525,25-Apr-19, 08:18:45 ,27541,16267,64487,3633,1,injection
1556205526,25-Apr-19, 08:18:46 ,27541,16267,64487,3633,1,injection
1556205527,25-Apr-19, 08:18:47 ,27541,16267,64487,3633,1,injection
1556205527,25-Apr-19, 08:18:47 ,42781,46120,24637,11165,1,injection
1556205528,25-Apr-19, 08:18:48 ,42781,46120,24637,11165,1,injection
1556205530,25-Apr-19, 08:18:50 ,42781,46120,24637,11165,1,injection
1556205531,25-Apr-19, 08:18:51 ,42781,46120,24637,11165,1,injection
1556205532,25-Apr-19, 08:18:52 ,53097,61017,7761,40436,1,injection
1556205532,25-Apr-19, 08:18:52 ,53097,61017,7761,40436,1,injection
1556205533,25-Apr-19, 08:18:53 ,53097,61017,7761,40436,1,injection
