date,A1,A2,A3,A4,A5,A6,A7,A8,label
2021-02-01 00:00:00,11787.0,14017.0,34245.0,34721.0,2619.0,996041,239185,85238,0
2021-02-01 00:10:00,9755.0,13762.0,29130.0,29895.0,2323.0,983323,228342,80607,0
2021-02-01 00:20:00,9019.0,12795.0,27147.0,27538.0,2054.0,972599,218052,76184,0
2021-02-01 00:30:00,7934.0,12270.0,24027.0,24395.0,1924.0,968408,216287,74231,0
2021-02-01 00:40:00,7180.0,11626.0,22475.0,23027.0,1708.0,953335,202978,69675,0
2021-02-01 00:50:00,6292.0,10858.0,18710.0,19205.0,1410.0,939434,194043,67130,0
2021-02-01 01:00:00,5939.0,10455.0,18049.0,18129.0,1327.0,935091,191259,65891,0
2021-02-01 01:10:00,5140.0,10184.0,16905.0,16913.0,1207.0,930987,183372,62602,0
2021-02-01 01:20:00,4536.0,9451.0,14654.0,14672.0,1117.0,926430,178038,59980,0
2021-02-01 01:30:00,4047.0,9558.0,12728.0,12756.0,979.0,924084,174649,57874,0
2021-02-01 01:40:00,4084.0,9126.0,12557.0,12697.0,946.0,918766,170932,57073,0
2021-02-01 01:50:00,3546.0,8506.0,10971.0,11091.0,880.0,911027,166921,55675,0
2021-02-01 02:00:00,3371.0,10052.0,10822.0,10860.0,784.0,912361,171953,53854,0
2021-02-01 02:10:00,2833.0,11666.0,9099.0,8955.0,763.0,907396,168055,52469,0
2021-02-01 02:20:00,2500.0,9616.0,7684.0,7808.0,647.0,901603,162462,52003,0
2021-02-01 02:30:00,2384.0,8871.0,7736.0,7644.0,755.0,905080,162852,51286,0
2021-02-01 02:40:00,2173.0,8198.0,6545.0,6631.0,628.0,902393,160782,49303,0
2021-02-01 02:50:00,2250.0,7902.0,6824.0,6859.0,614.0,891183,155554,48881,0
2021-02-01 03:00:00,1967.0,18954.0,5901.0,5788.0,593.0,928005,182466,49400,0
2021-02-01 03:10:00,1851.0,21345.0,5313.0,5368.0,621.0,910089,177185,47650,0
2021-02-01 03:20:00,1561.0,21261.0,4490.0,4451.0,540.0,910534,176956,47720,0
2021-02-01 03:30:00,1707.0,20967.0,4151.0,4131.0,514.0,910514,176874,47167,0
2021-02-01 03:40:00,1551.0,20579.0,4003.0,4128.0,538.0,909303,176182,45915,0
2021-02-01 03:50:00,1679.0,21021.0,4197.0,4286.0,525.0,908324,179229,45379,0
2021-02-01 04:00:00,1608.0,26020.0,4187.0,4271.0,590.0,915114,186379,47103,0
